Temp,Dense,Dilute,Dense_Error,Dilute_Error
257.74999999999994,0.5952449796819644,5.919171598486063e-06,0.0,0.0
263.34999999999997,0.5727396201839176,1.683958314897511e-05,0.0,0.0
268.94999999999993,0.5509728329942175,4.942342738499056e-05,0.0,0.0
274.54999999999995,0.5277916328577189,0.000112028564875677,0.0,0.0
280.15,0.5051194232889765,0.00024550486717875617,0.0,0.0
285.74999999999994,0.4811565731802738,0.0005013204810555271,0.0,0.0
291.34999999999997,0.45521253251303845,0.0009602503276815808,0.0,0.0
296.94999999999993,0.43022870918269257,0.0017886326311557794,0.0,0.0
302.54999999999995,0.40291261202825873,0.0030798437679062265,0.0,0.0
308.15,0.36953026711702863,0.005401147985907721,0.0,0.0
313.74999999999994,0.3411543910621198,0.009403656957971887,0.0,0.0
319.34999999999997,0.3096802201540514,0.016217289110080333,0.0,0.0
324.94999999999993,0.27246148271360626,0.02910185513308899,0.0,0.0
326.34999999999997,0.23997437692692195,0.038489299750796784,0.0,0.0
327.74999999999994,0.24035300331179396,0.04281330166655652,0.0,0.0
